,Areas,Distance,Correlation
29,IT_CNOR-SE3,1725.750221289541,-0.07265082820035668
30,IT_CNOR-SE4,1427.3910322367933,-0.015931314839507143
31,IT_CNOR-DK1,1405.365499668076,-0.09303477943938428
32,IT_CNOR-DK2,1350.084341370917,-0.10574156283889943
33,IT_CSUD-IT_SUD,299.85543068583956,0.5242191132330526
34,IT_CSUD-IT_SICI,479.3704899321131,0.6518287433501503
35,IT_CSUD-IT_SARD,421.85989461794776,0.13051259710659585
36,IT_CSUD-Bayern,834.5419143951585,0.01038375543099876
37,IT_CSUD-Hessen,1064.4669321238239,-0.030175843211775497
38,IT_CSUD-Nordrhein-Westfalen,1183.8140563969189,-0.12413517953785647
39,IT_CSUD-Bremen/Niedersachsen,1281.141101063302,-0.12541983994557088
40,IT_CSUD-Schleswig-Holstein,1434.6116575987073,-0.07262164159556758
41,IT_CSUD-Baden-Württemberg,839.6204889220675,0.04257574352967765
42,IT_CSUD-SE1,2692.487941653541,0.011403258578860093
43,IT_CSUD-SE2,2345.214058467875,-0.0077121749584417865
44,IT_CSUD-SE3,1896.7272853826491,-0.029106531671021955
45,IT_CSUD-SE4,1602.0157737077277,-0.008654291660252838
46,IT_CSUD-DK1,1596.4993016015521,-0.1429923462258889
47,IT_CSUD-DK2,1532.9428319701244,-0.17357039944679692
48,IT_SUD-IT_SICI,411.014656545836,0.47838000954599674
49,IT_SUD-IT_SARD,660.578090665105,-0.011182182459530836
50,IT_SUD-Bayern,1035.0295819663954,0.021022642527005718
51,IT_SUD-Hessen,1282.7613126099911,-0.015412883412822397
52,IT_SUD-Nordrhein-Westfalen,1396.8500839795813,-0.0828261870538884
53,IT_SUD-Bremen/Niedersachsen,1487.8349273201484,-0.08802347827151584
54,IT_SUD-Schleswig-Holstein,1626.4519262554113,-0.06248178792390591
55,IT_SUD-Baden-Württemberg,1080.064723090908,0.037673134617525375
56,IT_SUD-SE1,2791.1364650461996,0.046085171653386485
57,IT_SUD-SE2,2464.7551337475247,0.00463805692751738
58,IT_SUD-SE3,2026.6417740822517,0.015049658014952972
59,IT_SUD-SE4,1744.7330169062095,-0.0007276889847805489
60,IT_SUD-DK1,1779.718932607834,-0.0562637334918677
61,IT_SUD-DK2,1695.8050161110314,-0.07207721809838177
62,IT_SICI-IT_SARD,540.1709162722015,0.054055856051410056
63,IT_SICI-Bayern,1313.4524435482758,-0.041768110128435884
64,IT_SICI-Hessen,1538.897507580607,-0.0810292710122562
65,IT_SICI-Nordrhein-Westfalen,1659.1155431201416,-0.14937469929144082
66,IT_SICI-Bremen/Niedersachsen,1757.6195087349113,-0.13133629219915027
67,IT_SICI-Schleswig-Holstein,1913.1908438101473,-0.10801208773951039
68,IT_SICI-Baden-Württemberg,1307.0666292086737,-0.029416847441969984
69,IT_SICI-SE1,3157.4402805133673,0.004346076958772699
70,IT_SICI-SE2,2816.8249540554343,0.0079208207358196
71,IT_SICI-SE3,2370.4403245305675,-0.024764851025929617
72,IT_SICI-SE4,2078.0367290175245,-0.008375398993912084
73,IT_SICI-DK1,2075.642202181799,-0.1062920514670846
74,IT_SICI-DK2,2011.7396239773173,-0.1263067911670562
75,IT_SARD-Bayern,1018.5878866182838,-0.04855801215296308
76,IT_SARD-Hessen,1189.388055252537,-0.049185099006956404
77,IT_SARD-Nordrhein-Westfalen,1308.6975442529513,-0.07075940939238566
78,IT_SARD-Bremen/Niedersachsen,1410.9647507704465,-0.06670425167836672
79,IT_SARD-Schleswig-Holstein,1581.7414205490616,-0.06905618972486724
80,IT_SARD-Baden-Württemberg,943.1040815809371,0.036853589937123975
81,IT_SARD-SE1,2935.536505219226,0.0014786251233079295
82,IT_SARD-SE2,2568.509860062089,0.020793070133014836
83,IT_SARD-SE3,2117.509619101791,-0.00714658467665496
84,IT_SARD-SE4,1816.0052486595043,-0.023367602560448227
85,IT_SARD-DK1,1750.160727462392,-0.04609049624850379
86,IT_SARD-DK2,1721.4442142301666,-0.009962524519019118
87,Bayern-Hessen,255.09795849003254,0.4918760726915524
88,Bayern-Nordrhein-Westfalen,362.81991222357584,0.2081663074514515
89,Bayern-Bremen/Niedersachsen,452.9784431445373,0.2906644564063445
90,Bayern-Schleswig-Holstein,600.1960055021405,0.17888813432741701
91,Bayern-Baden-Württemberg,187.07172672745463,0.2376832042319186
92,Bayern-SE1,1917.3504575265201,0.02791149359581006
93,Bayern-SE2,1550.3053100201112,0.06484337022601575
94,Bayern-SE3,1099.0576345543102,0.03281852912960698
95,Bayern-SE4,797.6459307036682,-0.07058661251835112
96,Bayern-DK1,762.2980724063838,0.0542723137058869
97,Bayern-DK2,709.4226883848004,0.062111767722822335
98,Hessen-Nordrhein-Westfalen,121.11652485257017,0.6346921514418993
99,Hessen-Bremen/Niedersachsen,222.65088785855644,0.628548632461626
100,Hessen-Schleswig-Holstein,392.5201151087977,0.3518096034153343
101,Hessen-Baden-Württemberg,246.29625676253605,0.13355260345997746
102,Hessen-SE1,1783.0405113107756,-0.03105850821512767
103,Hessen-SE2,1403.704185455738,0.05027656044184417
104,Hessen-SE3,962.0271948831827,0.06498166855987339
105,Hessen-SE4,668.007172572542,-0.011998854640121492
106,Hessen-DK1,561.0100573370723,0.1095757143827593
107,Hessen-DK2,550.6188096350115,0.13069545188307505
108,Nordrhein-Westfalen-Bremen/Niedersachsen,102.26744943732744,0.7890997638931311
109,Nordrhein-Westfalen-Schleswig-Holstein,275.4038541811141,0.48090642157685154
110,Nordrhein-Westfalen-Baden-Württemberg,365.94368368484334,0.1185144118312205
111,Nordrhein-Westfalen-SE1,1677.7672078252435,-0.022741892165362206
112,Nordrhein-Westfalen-SE2,1296.0483721930013,-0.000805417914571924
113,Nordrhein-Westfalen-SE3,860.1979244693158,0.02037581518368311
114,Nordrhein-Westfalen-SE4,573.8334528703574,-0.018514089115536963
115,Nordrhein-Westfalen-DK1,443.48605443382417,0.13592855285984884
116,Nordrhein-Westfalen-DK2,447.7494602074005,0.11017110724895852
117,Bremen/Niedersachsen-Schleswig-Holstein,174.86170099277783,0.6535887950744124
118,Bremen/Niedersachsen-Baden-Württemberg,468.1623045369225,0.059836081128835754
119,Bremen/Niedersachsen-SE1,1582.9107550576427,-0.0024783217842935944
120,Bremen/Niedersachsen-SE2,1199.8932984532353,0.05335780230723052
121,Bremen/Niedersachsen-SE3,769.2068318886498,0.05778169430415021
122,Bremen/Niedersachsen-SE4,491.5587589467711,0.01600275570012091
123,Bremen/Niedersachsen-DK1,342.05810168388507,0.21060327749154426
124,Bremen/Niedersachsen-DK2,359.0487450568099,0.18471397244333113
125,Schleswig-Holstein-Baden-Württemberg,638.7703645114105,0.03541045418785528
126,Schleswig-Holstein-SE1,1410.6558977557868,-0.031006536325373812
127,Schleswig-Holstein-SE2,1026.7585915061727,0.012784510579034762
128,Schleswig-Holstein-SE3,602.5983328119553,-0.04346696487827296
129,Schleswig-Holstein-SE4,344.16681213834045,-0.0019701026316841525
130,Schleswig-Holstein-DK1,168.4917023045807,0.16444156622734057
131,Schleswig-Holstein-DK2,204.49154199171153,0.18745984069025362
132,Baden-Württemberg-SE1,2018.9384819015556,-0.0001991854211070782
133,Baden-Württemberg-SE2,1642.606261049086,-0.0011642145679770113
134,Baden-Württemberg-SE3,1196.5553428755682,-0.02881277986913481
135,Baden-Württemberg-SE4,897.695926700719,-0.056136787505131056
136,Baden-Württemberg-DK1,807.2470956590315,-0.028831844844132582
137,Baden-Württemberg-DK2,789.0241999004434,0.035508583942158146
138,SE1-SE2,385.6888214931639,0.1497389785977998
139,SE1-SE3,822.4004539888656,0.20669064168211007
140,SE1-SE4,1122.6676946922878,0.06746585158367811
141,SE1-DK1,1254.1380705927781,-0.05606983782043076
142,SE1-DK2,1232.4337134861091,0.01921516921735223
143,SE2-SE3,451.5392345210716,0.6167665748761542
144,SE2-SE4,752.6678416433235,0.2696583422479372
145,SE2-DK1,868.7919561836555,-0.015873214557961403
146,SE2-DK2,853.7699878208701,0.0385874147529742
147,SE3-SE4,301.53629479037835,0.35571588202361054
148,SE3-DK1,464.3498116323114,0.07006005301448844
149,SE3-DK2,412.5496489623234,0.07726147954328816
150,SE4-DK1,267.8362938023042,0.030522305182141184
151,SE4-DK2,139.95722612503602,0.07243702569875776
152,DK1-DK2,154.44505338314994,0.5361416119937648
